Gene_Symbol,mock_1,mock_2,hcmv_72h_1,hcmv_72h_2
GIPR,0.461255248,0.510573993,1.641479476,1.649464374
GJA1,214.2788519,209.0363109,11.29806374,10.78711676
GJB1,0.021991095,0.034710525,0,0.027461901
GK,2.822344598,3.046867976,1.485847254,1.596095816
GLI3,5.360784257,5.466203167,1.823199954,2.223542749
GLA,13.18466946,14.71044141,45.98997952,45.32588765
GLDC,0.023873242,0.025120858,0.753296436,0.558682067
GLRA1,0.002891587,0.031948363,0.007003159,0
GP1BA,0,0.031882363,0.020127431,0
GP9,0.067122392,0,0,0
GPI,32.10497883,33.65870154,36.7558157,36.65064177
NR3C1,14.86475074,15.63067555,7.442470526,7.358307996
GSN,154.3026289,155.381832,68.54032289,68.10058893
GSS,23.91063973,24.20335703,17.68478152,17.14082274
MSH6,20.38852945,20.66107843,19.99939959,20.65923691
GUCY2D,0.030453286,0.003521404,0.02778841,0
GUSB,16.05783505,14.649717,19.69299166,19.30137872
HADHA,64.15325195,61.79943921,54.81399207,53.65038864
HADHB,44.91799738,44.18960461,42.27101403,39.48474194
HBG2,0,0.08425125,0.04317213,0
SERPIND1,0,0.00430821,0.079327089,0.040902283
HGD,0.153817315,0.095209302,0.062610328,0.045196005
HK1,50.86544469,52.22614898,24.79075161,24.20361532
HK2,7.078420755,7.006762989,5.040612501,5.289519182
HMBS,10.53354502,10.95720886,3.302539225,3.23582729
HMGCL,14.41078665,15.09662491,16.33190413,16.29880927
TBX5,7.234725363,6.902549952,1.323594777,1.472118696
SHH,0,0.012142811,0.127763208,0.304838097
HPRT1,17.99384432,18.29855494,14.58577287,14.46120439
HPS1,19.8951512,19.2400956,12.37803662,12.64642613
HSD11B2,0.012159856,0.077459852,0.335234727,0.392193016
HSD17B3,0.032075195,0,0.221951957,0.168229574
HSD3B2,0,0,0.034344145,0.018593795
SGSH,23.32243274,23.34980608,10.73425578,11.15037528
HTN3,0,0,0,0.039292375
ICAM1,63.42911292,63.82560567,49.31518131,47.82182179
IDS,25.80272939,25.12367175,11.27717718,11.79597772
IDUA,16.51439683,17.71302421,6.478479128,5.080363823
CFI,7.725743356,7.695563871,0.774531192,0.672606903
IL2RG,0.047422778,0.049901094,0.196891932,0.177660958
INSR,4.363132925,4.330609646,4.604888393,4.62584902
PDX1,0.007068261,0.019833729,0.156513654,0.158879854
ITGA6,10.58017694,10.53032903,9.101977013,9.361932352
ITGB2,0.062507593,0.129391952,0.06807127,0.030711281
ITGB3,5.696794489,5.611298518,3.241496319,3.112281491
ITGB4,2.607250018,2.401159609,0.581147396,0.721349313
JAG1,8.510588019,8.496130136,5.631959555,5.432126477
JAK3,2.237908896,2.356035995,0.746882224,0.789876393
KAL1,0.115214669,0.138410862,1.008528041,1.186985669
KCNA1,0.004556341,0.015981519,0.617962293,0.551914385
KCNQ1,0.013073162,0.016793485,0.162833146,0.251294869
KCNE1,0.06109732,0.20894337,0.197296152,0.104908
KCNJ1,0.030260625,0.015921023,0.004187912,0.018894336
KHK,0.060245583,0.269424583,1.036998145,0.862045953
KIT,4.232773101,4.539015167,0.564073576,0.683026371
KRT12,0.085820469,0.089664985,0.012635217,0.022802201
KRT18,133.3508911,132.8402233,52.22597641,50.73205339
KRT9,0.037077748,0.095866491,0.010995785,0.076067107
LAMA3,11.17251503,10.90577888,4.041793747,4.055389967
LAMB3,1.276333691,1.371309349,0.892486256,0.738205123
LEP,0.137978559,0.122852504,0.014688854,0
SGCG,0.021977807,0.092505473,0.15968471,0.144087868
SGCB,34.42178205,34.50627502,11.60016552,12.05874618
LHCGR,0.003919956,0,0.04312886,0.022028121
LIG1,4.371163448,4.332687193,6.267165919,6.062648979
LIPC,0.986432225,1.105591306,0.151685621,0.075514522
LPL,0.038829219,0.020429218,1.05795915,1.245558834
LYZ,0.023992923,0.025246794,0.0664099,0.009987244
MAOA,0.834833675,0.990962706,0.519442536,0.339457611
MBL2,0,0.021448103,0.028208856,0.01272681
MEN1,9.26516771,9.113874422,12.90178445,12.75347309
MET,16.64590725,16.71242431,10.91039336,10.99309894
CIITA,0.014328391,0,0.03244867,0.006506516
MITF,9.958186078,10.30029666,3.466976926,2.722068865
MLH1,13.08317317,13.25408618,15.13754038,16.2184811
MPO,0.052796868,0.025297837,0.187889408,0.242533149
MSH2,9.054590628,8.781344674,21.46728462,21.34861601
MTM1,3.935321158,3.623938684,3.135181212,2.828959481
MTTP,0.022233051,0,0.073846509,0.049975289
MTR,6.969419137,7.141509227,4.161403695,4.038633109
MUT,13.43639489,13.41466231,10.47535561,10.40521127
MYBPC3,0,0.02344673,0.019895148,0.008975967
MYH7,0.049307452,0.020147827,0.015304747,0.010043557
MYL3,1.624855486,2.142363018,0.162557709,0.342253923
MYO5A,8.873640056,9.08717295,6.789376933,6.757874869
MYO7A,0.025174624,0.017090484,0.148015345,0.082142906
MYOC,0.755923725,0.748638421,0.049231006,0.134748187
NAGA,13.55651139,14.12424625,14.48284772,15.26256713
NAGLU,22.01528619,21.46901307,10.71793397,11.16773461
PTCH1,2.417863162,2.273518706,2.313760945,2.209207564
NCF1,0,0,0.072015313,0.162453451
NDP,0,0,0.025144208,0
NF1,11.76783946,11.60474463,6.48881449,6.588061721
NME1,83.118082,83.76892386,81.31159329,81.32271533
PNP,3.530656211,3.212434988,32.41554706,32.36386783
NPC1,18.19293194,17.21302692,24.33804184,24.36690405
NPHP1,1.656637161,2.004173112,0.604064447,0.693717588
GPR143,0.021446504,0.022567299,0.207765877,0.428509292
OAT,65.0476489,61.60697183,60.90513958,59.74843796
OCA2,0.017386841,0,0.133680433,0.0723741
OCRL,13.5041238,13.06251669,20.93050884,21.32735808
PAH,0.006783527,0.035690171,0.084492416,0.03388436
PAX6,0.023670997,0.027014238,0.20595077,0.337980604
PCBD1,20.57295348,21.19154631,19.54002375,19.73102129
PCCA,4.337413265,4.418543382,3.759696492,3.613917678
PDE6B,0.224460385,0.320544511,1.155290267,1.190163676
PDHA1,10.51718245,10.06039308,8.964528978,8.788049518
PEPD,26.97231863,27.3107882,33.07912344,32.49592753
PEX12,3.32145039,2.917279719,1.726112845,1.828391492
PEX6,12.59754655,12.16172265,9.836050355,9.05063565
PEX7,3.951482208,4.261290812,2.377671576,2.942314814
PFKM,27.00749219,25.80892644,23.37897623,23.51404865
PGAM2,0.297097896,0.260520201,0.176214833,0.176670498
PGK1,124.7144339,122.0886598,118.0352235,119.7693198
